Original|Predicted|MLI
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.16658720426375015##raisedhands > 72.00,-0.12664099680217755##AnnouncementsView > 52.25,-0.11635185092959904##VisITedResources > 84.00,-0.09203005992287762##NationalITy <= 3.00,-0.08482389846485819
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.15850709006211744##42.00 < raisedhands <= 72.00,-0.07906615213631532##0.00 < ParentAnsweringSurvey <= 1.00,-0.07828988557861837##0.00 < gender <= 1.00,0.043066994129238784##StageID <= 1.00,-0.04083944219781951
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.167431721260183##raisedhands > 72.00,-0.13297146910722255##0.00 < ParentAnsweringSurvey <= 1.00,-0.07883287237309021##62.50 < VisITedResources <= 84.00,-0.05965376513971095##0.00 < Relation <= 1.00,-0.03673413084016061
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.160073896190313##raisedhands > 72.00,-0.12076324994362578##NationalITy <= 3.00,-0.0878873347467358##VisITedResources > 84.00,-0.08691323517552024##0.00 < ParentAnsweringSurvey <= 1.00,-0.06460832610525313
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.1622467779540453##raisedhands > 72.00,-0.12284498939683977##AnnouncementsView > 52.25,-0.1052494918315026##VisITedResources > 84.00,-0.08182610133315406##0.00 < ParentAnsweringSurvey <= 1.00,-0.05749755304481266
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.16420563476825445##AnnouncementsView > 52.25,-0.11446291478633014##NationalITy <= 3.00,-0.08768276809452628##0.00 < ParentAnsweringSurvey <= 1.00,-0.0654157748591912##PlaceofBirth <= 3.00,0.06273753392881795
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.16047919765561441##raisedhands > 72.00,-0.1263640339454919##PlaceofBirth > 4.00,-0.09926465730607832##NationalITy <= 3.00,-0.07911100023481925##0.00 < ParentAnsweringSurvey <= 1.00,-0.07076748306457468
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.1650577711976231##NationalITy > 4.00,0.15423862401643304##raisedhands > 72.00,-0.13437673093885255##AnnouncementsView > 52.25,-0.1108980603043316##ParentAnsweringSurvey <= 0.00,0.07070263766782488
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.1632524988898488##raisedhands > 72.00,-0.1166135023693455##AnnouncementsView > 52.25,-0.10682807987462226##NationalITy <= 3.00,-0.0872099876376414##0.00 < ParentAnsweringSurvey <= 1.00,-0.07087149225852053
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.16804823527743795##AnnouncementsView > 52.25,-0.11048509766242108##NationalITy <= 3.00,-0.09357600787027699##PlaceofBirth <= 3.00,0.07120102726002957##0.00 < ParentAnsweringSurvey <= 1.00,-0.06820853974712028
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.162643794943193##raisedhands > 72.00,-0.12758245960248094##PlaceofBirth > 4.00,-0.09908253982895715##VisITedResources > 84.00,-0.08701361691709719##NationalITy <= 3.00,-0.08591299599117505
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.165231534808417##NationalITy > 4.00,0.15114706492085717##AnnouncementsView > 52.25,-0.10815743517841041##PlaceofBirth > 4.00,-0.10733518391544983##0.00 < ParentAnsweringSurvey <= 1.00,-0.08014217623592196
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.15740575461382963##raisedhands > 72.00,-0.12035079928586896##AnnouncementsView > 52.25,-0.10362603005167968##NationalITy <= 3.00,-0.08178571678290565##0.00 < ParentAnsweringSurvey <= 1.00,-0.07416646652066736
H|H|NationalITy > 4.00,0.16980961787753743##0.00 < StudentAbsenceDays <= 1.00,-0.16050338501795072##raisedhands > 72.00,-0.1334303798433837##PlaceofBirth > 4.00,-0.10150078933153829##0.00 < ParentAnsweringSurvey <= 1.00,-0.07452965378533034
