Original|Predicted|MLI
L|L|StudentAbsenceDays <= 0.00,0.17770832619457866##NationalITy > 4.00,0.16574834421952053##raisedhands <= 15.00,0.15996045077934481##VisITedResources <= 18.75,0.12908935673393268##0.00 < ParentAnsweringSurvey <= 1.00,-0.07586361960389107
L|L|StudentAbsenceDays <= 0.00,0.16982522172978537##raisedhands <= 15.00,0.15309097910816943##VisITedResources <= 18.75,0.12303754828646138##AnnouncementsView <= 14.00,0.10615312315040423##NationalITy <= 3.00,-0.09989986562402468
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.16658720426375015##raisedhands > 72.00,-0.12664099680217755##AnnouncementsView > 52.25,-0.11635185092959904##VisITedResources > 84.00,-0.09203005992287762##NationalITy <= 3.00,-0.08482389846485819
L|M|StudentAbsenceDays <= 0.00,0.16111211971712616##AnnouncementsView <= 14.00,0.10153625213691334##42.00 < raisedhands <= 72.00,-0.08113445070754745##ParentAnsweringSurvey <= 0.00,0.06624995298195735##0.00 < gender <= 1.00,0.043931184551828324
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.15850709006211744##42.00 < raisedhands <= 72.00,-0.07906615213631532##0.00 < ParentAnsweringSurvey <= 1.00,-0.07828988557861837##0.00 < gender <= 1.00,0.043066994129238784##StageID <= 1.00,-0.04083944219781951
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.167431721260183##raisedhands > 72.00,-0.13297146910722255##0.00 < ParentAnsweringSurvey <= 1.00,-0.07883287237309021##62.50 < VisITedResources <= 84.00,-0.05965376513971095##0.00 < Relation <= 1.00,-0.03673413084016061
M|M|NationalITy > 4.00,0.1693485981907171##0.00 < StudentAbsenceDays <= 1.00,-0.16480938668157055##raisedhands > 72.00,-0.1341041304490548##AnnouncementsView <= 14.00,0.09739555986637911##ParentAnsweringSurvey <= 0.00,0.07795216584164284
M|M|StudentAbsenceDays <= 0.00,0.1561446951195161##AnnouncementsView > 52.25,-0.10866698830564511##NationalITy <= 3.00,-0.09930473477271604##0.00 < ParentAnsweringSurvey <= 1.00,-0.07314132126699212##PlaceofBirth <= 3.00,0.05528293183393558
H|M|0.00 < StudentAbsenceDays <= 1.00,-0.1537734182962174##raisedhands > 72.00,-0.13383117703608208##PlaceofBirth > 4.00,-0.10141210732611368##NationalITy <= 3.00,-0.08923990844673994##VisITedResources > 84.00,-0.08094731611707769
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.160073896190313##raisedhands > 72.00,-0.12076324994362578##NationalITy <= 3.00,-0.0878873347467358##VisITedResources > 84.00,-0.08691323517552024##0.00 < ParentAnsweringSurvey <= 1.00,-0.06460832610525313
L|L|StudentAbsenceDays <= 0.00,0.16133470037593897##raisedhands <= 15.00,0.14501871688798962##VisITedResources <= 18.75,0.11424444684868615##AnnouncementsView <= 14.00,0.1127196919749483##NationalITy <= 3.00,-0.100870744255415
M|M|0.00 < StudentAbsenceDays <= 1.00,-0.16851163750797135##0.00 < ParentAnsweringSurvey <= 1.00,-0.060785426026241235##Discussion <= 20.00,0.049683910062150644##StageID <= 1.00,-0.04506933257107224##0.00 < gender <= 1.00,0.04219814023716786
M|M|0.00 < StudentAbsenceDays <= 1.00,-0.17048722954125686##0.00 < ParentAnsweringSurvey <= 1.00,-0.06521111903822063##62.50 < VisITedResources <= 84.00,-0.053387638562467914##StageID <= 1.00,-0.0422053434017672##0.00 < gender <= 1.00,0.039276354161274084
M|M|0.00 < StudentAbsenceDays <= 1.00,-0.18130386231857226##NationalITy > 4.00,0.1677672933506835##AnnouncementsView > 52.25,-0.1252863080177425##PlaceofBirth > 4.00,-0.10561068037325595##ParentAnsweringSurvey <= 0.00,0.08268190388294609
M|M|0.00 < StudentAbsenceDays <= 1.00,-0.1668421415265916##0.00 < ParentAnsweringSurvey <= 1.00,-0.07985312446275063##42.00 < raisedhands <= 72.00,-0.07557656017115344##0.00 < gender <= 1.00,0.05121637558795287##StageID <= 1.00,-0.04091281304016855
L|M|StudentAbsenceDays <= 0.00,0.16418772906774975##NationalITy <= 3.00,-0.10735813870895676##ParentAnsweringSurvey <= 0.00,0.07836800877161217##62.50 < VisITedResources <= 84.00,-0.06416429618924244##PlaceofBirth <= 3.00,0.05380230234111227
M|M|StudentAbsenceDays <= 0.00,0.16325516931988432##ParentAnsweringSurvey <= 0.00,0.07971217833266978##42.00 < raisedhands <= 72.00,-0.07844898860849431##gender <= 0.00,-0.038277717854463336##StageID <= 1.00,-0.034338552174946475
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.1622467779540453##raisedhands > 72.00,-0.12284498939683977##AnnouncementsView > 52.25,-0.1052494918315026##VisITedResources > 84.00,-0.08182610133315406##0.00 < ParentAnsweringSurvey <= 1.00,-0.05749755304481266
M|H|0.00 < StudentAbsenceDays <= 1.00,-0.17424271314856893##NationalITy > 4.00,0.16368512218924233##VisITedResources <= 18.75,0.1156011552934424##PlaceofBirth > 4.00,-0.10858017301205393##ParentAnsweringSurvey <= 0.00,0.07350119563665651
M|M|0.00 < StudentAbsenceDays <= 1.00,-0.16484942412080353##AnnouncementsView <= 14.00,0.09859592333051737##0.00 < ParentAnsweringSurvey <= 1.00,-0.07175032083507749##0.00 < gender <= 1.00,0.0512190177310678##1.00 < StageID <= 2.00,0.04183493493181371
L|L|StudentAbsenceDays <= 0.00,0.16190090276056177##raisedhands <= 15.00,0.1613150666119369##VisITedResources <= 18.75,0.12229708697921542##AnnouncementsView <= 14.00,0.11204369220216615##NationalITy <= 3.00,-0.09485044428826919
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.16420563476825445##AnnouncementsView > 52.25,-0.11446291478633014##NationalITy <= 3.00,-0.08768276809452628##0.00 < ParentAnsweringSurvey <= 1.00,-0.0654157748591912##PlaceofBirth <= 3.00,0.06273753392881795
L|L|StudentAbsenceDays <= 0.00,0.17131175752803174##raisedhands <= 15.00,0.1546531246101379##VisITedResources <= 18.75,0.13063839735916624##AnnouncementsView <= 14.00,0.11088840813435977##ParentAnsweringSurvey <= 0.00,0.07370285704181624
H|M|0.00 < StudentAbsenceDays <= 1.00,-0.1597505949853305##ParentAnsweringSurvey <= 0.00,0.0705655623225235##Discussion <= 20.00,0.05214841793203444##15.00 < raisedhands <= 42.00,0.05140051691265377##GradeID <= 0.00,-0.04341223289080851
L|M|raisedhands <= 15.00,0.16348032603058124##StudentAbsenceDays <= 0.00,0.16306103472190342##VisITedResources <= 18.75,0.1275982260208856##AnnouncementsView <= 14.00,0.10391898833319951##NationalITy <= 3.00,-0.10079618224032019
M|M|0.00 < StudentAbsenceDays <= 1.00,-0.1592562137758754##AnnouncementsView > 52.25,-0.1111634509649805##NationalITy <= 3.00,-0.08978897444366561##42.00 < raisedhands <= 72.00,-0.07379316570503631##ParentAnsweringSurvey <= 0.00,0.07372205127874815
M|M|StudentAbsenceDays <= 0.00,0.17307753847794566##NationalITy > 4.00,0.1670755710416165##raisedhands > 72.00,-0.13642517714262384##AnnouncementsView > 52.25,-0.1197468877322573##0.00 < ParentAnsweringSurvey <= 1.00,-0.07462035226248544
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.16047919765561441##raisedhands > 72.00,-0.1263640339454919##PlaceofBirth > 4.00,-0.09926465730607832##NationalITy <= 3.00,-0.07911100023481925##0.00 < ParentAnsweringSurvey <= 1.00,-0.07076748306457468
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.1650577711976231##NationalITy > 4.00,0.15423862401643304##raisedhands > 72.00,-0.13437673093885255##AnnouncementsView > 52.25,-0.1108980603043316##ParentAnsweringSurvey <= 0.00,0.07070263766782488
M|M|0.00 < StudentAbsenceDays <= 1.00,-0.1704931838557458##0.00 < ParentAnsweringSurvey <= 1.00,-0.07443480310689733##42.00 < raisedhands <= 72.00,-0.06749545305696102##gender <= 0.00,-0.05136855720612851##StageID <= 1.00,-0.04954718843587258
M|M|0.00 < StudentAbsenceDays <= 1.00,-0.16297087035846208##VisITedResources <= 18.75,0.12885616732470678##AnnouncementsView <= 14.00,0.10003729006575986##0.00 < ParentAnsweringSurvey <= 1.00,-0.0756212134437473##0.00 < gender <= 1.00,0.05464877526788623
M|H|0.00 < StudentAbsenceDays <= 1.00,-0.16687517572281207##raisedhands > 72.00,-0.13132784795141136##AnnouncementsView > 52.25,-0.11731705315717261##PlaceofBirth > 4.00,-0.09764013526716647##NationalITy <= 3.00,-0.08807530508383855
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.1632524988898488##raisedhands > 72.00,-0.1166135023693455##AnnouncementsView > 52.25,-0.10682807987462226##NationalITy <= 3.00,-0.0872099876376414##0.00 < ParentAnsweringSurvey <= 1.00,-0.07087149225852053
L|L|StudentAbsenceDays <= 0.00,0.16294905557525624##AnnouncementsView <= 14.00,0.10447244776006094##ParentAnsweringSurvey <= 0.00,0.07289375432710365##42.00 < raisedhands <= 72.00,-0.07169072730326662##0.00 < gender <= 1.00,0.04987406897653162
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.16804823527743795##AnnouncementsView > 52.25,-0.11048509766242108##NationalITy <= 3.00,-0.09357600787027699##PlaceofBirth <= 3.00,0.07120102726002957##0.00 < ParentAnsweringSurvey <= 1.00,-0.06820853974712028
M|M|0.00 < StudentAbsenceDays <= 1.00,-0.15927617348304138##0.00 < ParentAnsweringSurvey <= 1.00,-0.0693649682482347##15.00 < raisedhands <= 42.00,0.04880950621968716##gender <= 0.00,-0.0402240654630168##StageID <= 1.00,-0.03626051553666909
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.162643794943193##raisedhands > 72.00,-0.12758245960248094##PlaceofBirth > 4.00,-0.09908253982895715##VisITedResources > 84.00,-0.08701361691709719##NationalITy <= 3.00,-0.08591299599117505
M|L|0.00 < StudentAbsenceDays <= 1.00,-0.1671468106114699##raisedhands <= 15.00,0.1472843514376024##VisITedResources <= 18.75,0.1257435900709746##AnnouncementsView <= 14.00,0.10767737896107799##ParentAnsweringSurvey <= 0.00,0.07779837246944118
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.165231534808417##NationalITy > 4.00,0.15114706492085717##AnnouncementsView > 52.25,-0.10815743517841041##PlaceofBirth > 4.00,-0.10733518391544983##0.00 < ParentAnsweringSurvey <= 1.00,-0.08014217623592196
H|M|0.00 < StudentAbsenceDays <= 1.00,-0.16940932954442903##raisedhands <= 15.00,0.14797977815852553##NationalITy <= 3.00,-0.09654065182609756##VisITedResources > 84.00,-0.0891491799780873##PlaceofBirth <= 3.00,0.07346632548152748
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.15740575461382963##raisedhands > 72.00,-0.12035079928586896##AnnouncementsView > 52.25,-0.10362603005167968##NationalITy <= 3.00,-0.08178571678290565##0.00 < ParentAnsweringSurvey <= 1.00,-0.07416646652066736
H|H|NationalITy > 4.00,0.16980961787753743##0.00 < StudentAbsenceDays <= 1.00,-0.16050338501795072##raisedhands > 72.00,-0.1334303798433837##PlaceofBirth > 4.00,-0.10150078933153829##0.00 < ParentAnsweringSurvey <= 1.00,-0.07452965378533034
L|L|NationalITy > 4.00,0.17208001459246347##StudentAbsenceDays <= 0.00,0.16451251676620332##raisedhands <= 15.00,0.1507059776186611##VisITedResources <= 18.75,0.12848336684170322##AnnouncementsView <= 14.00,0.11374265619346094
